,mean_speed,mean_accel,variance,cum_variance,departed
1,18.068172,0.008643,0.059198,0.000000,2950
2,17.974822,0.003230,0.033790,0.002179,2950
3,17.935273,-0.004646,0.043844,0.003104,2947
4,17.975118,-0.002853,0.062865,0.002387,2948
5,17.998477,-0.010409,0.062924,0.001926,2950
6,17.970985,-0.006584,0.045479,0.001657,2949
7,18.052196,-0.002598,0.034899,0.001939,2946
8,17.960571,-0.004747,0.062406,0.001837,2949
9,18.073243,0.005560,0.039209,0.002285,2947
10,17.998568,0.001668,0.066528,0.002057,2949
11,18.041474,0.009107,0.042172,0.002007,2949
12,17.982925,-0.000823,0.041594,0.001876,2946
13,17.998702,0.000014,0.046611,0.001732,2948
14,18.062855,-0.003333,0.029661,0.001851,2950
15,18.023270,-0.006612,0.053057,0.001745,2949
16,18.033410,0.002582,0.052076,0.001675,2947
17,18.028285,-0.007537,0.074213,0.001596,2946
18,18.121832,0.001419,0.067629,0.002158,2949
19,18.034884,0.000829,0.045104,0.002061,2947
20,17.954881,0.000866,0.026224,0.002145,2947
